Item ID,X,Y,Z
blue,266139.5,-146164.265625,4396.99365234375
blue,272739.625,-164523.359375,4244.916015625
purple,294583.34375,-172604.734375,3900.7275390625
blue,281910.8125,-152776.0625,3937.111572265625
blue,283151.96875,-125203.3984375,2752.610595703125
blue,235814.578125,-187735.6875,1207.9210205078125
blue,258399.0,-109979.5078125,5797.5107421875
blue,205340.0,-135650.0,18455.0
purple,212843.0,-144939.0,16431.0
blue,299931.375,-183532.84375,3582.6455078125
blue,335850.28125,-157788.734375,4132.51611328125
blue,318921.65625,-188063.75,4238.45068359375
blue,252111.4375,-204393.734375,1602.1171875
purple,237541.265625,-206787.375,8012.78173828125
purple,236674.59375,-208776.625,17216.205078125
blue,329779.4375,-117571.984375,7559.13720703125
yellow,354279.0625,-176862.734375,8424.3505859375
blue,340376.8125,-190603.390625,4548.23046875
yellow,344491.03125,-143897.3125,4534.8291015625
blue,351188.5625,-205182.96875,4452.50341796875
blue,346188.1875,-209789.609375,4461.89892578125
blue,318095.34375,-230797.171875,3620.989990234375
blue,354541.0625,-215740.59375,4586.02392578125
blue,377438.59375,-186364.34375,5812.25830078125
blue,364227.75,-210000.671875,4050.9765625
blue,364325.21875,-160358.765625,7239.64404296875
blue,375090.0625,-218044.375,4762.177734375
blue,360868.875,-233573.609375,4618.69873046875
blue,332898.8125,-246819.234375,6805.6865234375
yellow,373948.40625,-241997.3125,4105.884765625
blue,381563.6875,-208871.09375,5197.337890625
purple,385174.5625,-207937.796875,9585.3125
purple,380202.0,-274445.0,1909.0
blue,277271.40625,-238507.0625,4069.23388671875
blue,322367.34375,-292843.375,-878.4016723632812
blue,380984.40625,-283542.53125,2016.885986328125
yellow,297231.21875,-289118.15625,1615.206787109375
purple,299170.0,-296890.0,9881.6875
blue,258012.953125,-253608.890625,7161.75146484375
yellow,244265.046875,-215283.84375,5473.5458984375
blue,241463.125,-226396.40625,1931.482177734375
purple,261006.984375,-256438.53125,3673.107666015625
yellow,263900.75,-270160.53125,6723.01171875
yellow,271675.34375,-267406.28125,12222.5615234375
yellow,268754.40625,-263821.3125,4230.1416015625
blue,248768.8125,-252499.234375,1279.0703125
blue,244057.265625,-240028.125,2538.7607421875
blue,236718.15625,-237214.4375,3417.07861328125
yellow,296550.75,-288370.53125,18058.34375
blue,286874.3125,-288896.125,4090.10693359375
yellow,280601.25,-286688.75,1632.3546142578125
yellow,286954.4375,-288059.75,22984.947265625
yellow,283787.90625,-278677.9375,1692.101318359375
blue,275134.96875,-276672.53125,8503.90625
yellow,396174.28125,-181215.734375,3861.085205078125
purple,253883.65625,-292994.5,5423.572265625
yellow,238537.8125,-279523.5625,2786.743896484375
purple,255771.609375,-290705.875,32565.87890625
yellow,264767.90625,-307156.8125,1217.761962890625
yellow,237319.296875,-271873.9375,6301.78662109375
yellow,250723.90625,-270293.90625,1862.1190185546875
yellow,252289.375,-275566.84375,9397.5986328125
purple,237167.0,-273298.0,16501.0
yellow,243082.0,-272859.0,26753.0
purple,216484.0,-286480.0,42936.0
purple,226648.9375,-295590.0,1647.1021728515625
blue,227180.0,-278348.0,24722.0
blue,241707.46875,-310696.75,6774.1396484375
yellow,241757.90625,-302466.8125,2506.4130859375
yellow,219260.0,-267056.0,16643.0
purple,228990.0,-265020.0,20885.0
blue,216565.0,-301215.0,16625.0
purple,205434.0,-285492.0,9664.0
purple,210835.0,-290925.0,22885.0
blue,203915.0,-284267.0,10054.0
yellow,203544.0,-286437.0,22147.0
blue,211232.0,-283751.0,30679.0
yellow,192490.9375,-314104.46875,4072.3857421875
purple,182224.0,-305952.0,20502.0
blue,189073.0,-286000.0,17916.0
purple,183780.0,-296705.0,21390.0
blue,196708.0,-261893.0,947.0
yellow,203030.0,-257567.0,9368.0
blue,201898.0,-266576.0,6173.0
yellow,197167.0,-273736.0,12056.0
yellow,190339.0,-263888.0,4334.0
purple,180355.0,-267555.0,19165.0
purple,187825.0,-257335.0,-1780.0
blue,159805.0,-283795.0,16441.0
purple,154163.0,-271535.0,-1336.0
blue,158746.0,-261100.0,1394.0
yellow,167921.0,-264110.0,3951.0
blue,162965.0,-269125.0,12110.0
yellow,152014.0,-283555.0,2976.0
yellow,181935.0,-253645.0,14235.0
purple,183086.0,-244460.0,23505.0
blue,168015.0,-241040.0,5530.0
yellow,145332.0,-238260.0,5983.0
blue,204021.0,-240579.0,24584.0
blue,204012.0,-249790.0,16103.0
yellow,190853.0,-222990.0,23933.0
purple,174830.0,-222015.0,13420.0
purple,175457.0,-225145.0,21124.0
yellow,173571.0,-233679.0,11494.0
yellow,162272.0,-234132.0,810.0
purple,172164.0,-216179.0,20199.0
purple,163448.0,-221893.0,4746.0
blue,204175.0,-225007.0,23533.0
yellow,214632.0,-219424.0,29564.0
blue,209102.0,-231180.0,16946.0
yellow,221440.0,-246935.0,11623.0
purple,218848.0,-255005.0,33313.0
purple,147242.0,-216065.0,6780.0
