Item ID,X,Y,Z
BP_WAT66,293392.71875,-164435.3125,1423.0413818359375
BP_WAT57,261873.4375,-194228.21875,3963.80126953125
BP_WAT18_1,331660.28125,-222661.1875,4584.39404296875
BP_WAT1_C_UAID_04421A9713F0B36201_2077013154,370156.0,-211385.0,5163.0
BP_WAT19_3,391493.09375,-241467.125,5424.0625
BP_WAT58,295658.4375,-237690.5,5419.564453125
BP_WAT52,264968.4375,-259564.6875,17590.37890625
BP_WAT74,264715.625,-288363.875,22833.044921875
BP_WAT64,242952.359375,-257677.40625,-323.9428405761719
BP_WAT55,280620.9375,-308274.6875,3041.115234375
BP_WAT83_2,223238.4375,-290110.375,15266.328125
BP_WAT78_0,211149.25,-259597.140625,-1601.0645751953125
BP_WAT1_C_UAID_04421A9713F0565301_1886270961,171062.0,-266773.40625,663.1013793945312
BP_WAT80_2,190045.265625,-249791.6875,13564.5908203125
BP_WAT121,210229.0,-248867.0,20268.0
BP_WAT123_1,209893.0,-186445.0,7430.0
BP_WAT1_C_20,202735.0,-161515.0,30523.0
BP_WAT86,195849.734375,-168881.640625,15332.5439453125
BP_WAT62,311246.75,-89880.734375,8315.33984375
BP_WAT49,378306.5625,-120583.2109375,7257.98828125
BP_WAT17_6,314591.1875,-59777.72265625,5927.86474609375
BP_WAT3,329081.125,-12866.23046875,-1105.557861328125
BP_WAT1_C_21,309568.40625,-8915.484375,5572.76953125
BP_WAT1_C_UAID_04421A9713F0F57A01_1942877174,238635.0,-21507.0,-195.0
BP_WAT70,213503.75,-45384.4609375,15881.2509765625
BP_WAT35_7,194098.890625,-81818.8984375,1415.9259033203125
BP_WAT1_C_12,137232.796875,-156060.375,16118.0
BP_WAT37_13,151390.515625,-73481.5390625,11314.8076171875
BP_WAT3_5,85522.6796875,-131861.375,14976.6103515625
BP_WAT1_C_7,94021.0625,-55894.31640625,16329.404296875
BP_WAT1_C_1,87775.09375,-186079.359375,10491.3974609375
BP_WAT1_C_11,112144.640625,-211342.390625,1612.9814453125
BP_WAT4_8,28422.04296875,-130004.1640625,16209.4560546875
BP_WAT7_3,-75146.59375,-112862.8515625,6096.64501953125
BP_WAT5_2,-78714.9765625,-190868.140625,17541.232421875
BP_WAT1_C_2,-28430.12890625,-226424.84375,-1717.7353515625
BP_WAT1_C_3,-62622.0,-243572.765625,1998.336669921875
BP_WAT10,20256.1796875,-250754.453125,4921.62060546875
BP_WAT10_UAID_40B076DF2F79B75201_1879979970,26012.896484375,-232917.296875,-1782.5323486328125
BP_WAT13,-142453.0,-154271.890625,-1739.7607421875
BP_WAT16,-232489.4375,-181844.296875,5384.951171875
BP_WAT15,-150618.796875,-105222.34375,-2841.48681640625
BP_WAT24,-230181.9375,-113829.390625,-660.75244140625
