ID,ActorClass,Species,X,Y,Z,Radius,Min,Max
0_BP_CreatureSpawner104,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,-64354.625,-120582.34375,3386.296142578125,500,1,1
0_BP_CreatureSpawner105,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,-41347.80859375,-96932.265625,525.775146484375,500,1,1
0_BP_CreatureSpawner106,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,-25597.849609375,-85671.4296875,2839.618896484375,500,1,1
0_BP_CreatureSpawner1080,BP_CreatureSpawner_C,Char_EliteCaveStinger_C,149754.515625,68197.703125,532.1409912109375,500,1,1
0_BP_CreatureSpawner1081,BP_CreatureSpawner_C,Char_EliteCaveStinger_C,234956.234375,94496.4375,-1574.599365234375,300,1,1
0_BP_CreatureSpawner1082_2,BP_CreatureSpawner_C,Char_EliteCaveStinger_C,240889.890625,-26252.390625,-418.667724609375,200,1,1
0_BP_CreatureSpawner1083,BP_CreatureSpawner_C,Char_EliteCaveStinger_C,239220.75,40362.68359375,-1568.556640625,300,1,1
0_BP_CreatureSpawner1084_6,BP_CreatureSpawner_C,Char_EliteCaveStinger_C,233081.1875,79918.9296875,-1462.7886962890625,200,1,1
0_BP_CreatureSpawner1085,BP_CreatureSpawner_C,Char_EliteCaveStinger_C,165820.4375,82073.484375,-187.30711364746094,300,1,1
0_BP_CreatureSpawner1086,BP_CreatureSpawner_C,Char_EliteCaveStinger_C,160604.75,81490.6328125,1882.2857666015625,300,1,1
0_BP_CreatureSpawner1087,BP_CreatureSpawner_C,Char_EliteCaveStinger_C,236271.375,-14900.494140625,-180.65464782714844,200,1,1
0_BP_CreatureSpawner109,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,-8251.005859375,-105845.03125,11173.1923828125,500,1,1
0_BP_CreatureSpawner1095,BP_CreatureSpawner_C,Char_CaveStinger_C,158876.171875,-36281.01171875,9105.7822265625,300,1,1
0_BP_CreatureSpawner11,BP_CreatureSpawner_C,Char_Spitter_Small_C,107763.9296875,-113232.7578125,11818.05859375,800,3,3
0_BP_CreatureSpawner110,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,-14850.9453125,-128377.125,10910.8857421875,500,1,1
0_BP_CreatureSpawner111,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,-25542.904296875,-130585.8671875,8227.05859375,500,1,1
0_BP_CreatureSpawner112,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,-45776.8359375,-119908.6875,7313.541015625,500,1,1
0_BP_CreatureSpawner113,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,7942.4033203125,-127394.6640625,13227.4013671875,500,1,1
0_BP_CreatureSpawner114,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,26045.28125,-98519.25,12356.4560546875,500,1,1
0_BP_CreatureSpawner115,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,42946.2890625,-117020.4453125,13020.1044921875,500,1,1
0_BP_CreatureSpawner116,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,60006.16796875,-82566.390625,9469.17578125,500,1,1
0_BP_CreatureSpawner117,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,80943.515625,-61633.49609375,12682.884765625,500,1,1
0_BP_CreatureSpawner118,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,101580.53125,-83887.015625,12436.166015625,500,1,1
0_BP_CreatureSpawner119,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,70356.859375,-116808.875,12718.7529296875,500,1,1
0_BP_CreatureSpawner120,BP_CreatureSpawner_C,Char_SpaceRabbit_C,72722.5703125,-82552.734375,9585.171875,200,1,1
0_BP_CreatureSpawner121,BP_CreatureSpawner_C,Char_SpaceRabbit_C,75203.046875,-65610.984375,12892.9853515625,200,1,1
0_BP_CreatureSpawner122,BP_CreatureSpawner_C,Char_SpaceRabbit_C,51022.34765625,-91760.375,11346.599609375,200,1,1
0_BP_CreatureSpawner123,BP_CreatureSpawner_C,Char_SpaceRabbit_C,23463.474609375,-90064.9921875,12496.6416015625,200,1,1
0_BP_CreatureSpawner124,BP_CreatureSpawner_C,Char_SpaceRabbit_C,12248.2958984375,-118980.4609375,12695.3916015625,200,1,1
0_BP_CreatureSpawner125,BP_CreatureSpawner_C,Char_SpaceRabbit_C,-9082.01171875,-136586.546875,13607.966796875,200,1,1
0_BP_CreatureSpawner126,BP_CreatureSpawner_C,Char_SpaceRabbit_C,-30571.671875,-135689.640625,9732.7392578125,200,1,1
0_BP_CreatureSpawner127,BP_CreatureSpawner_C,Char_SpaceRabbit_C,-49658.78125,-137212.1875,10635.1708984375,200,1,1
0_BP_CreatureSpawner128,BP_CreatureSpawner_C,Char_SpaceRabbit_C,-62784.9609375,-117407.484375,3441.185546875,200,1,1
0_BP_CreatureSpawner12_2,BP_CreatureSpawner_C,Char_Hog_C,-20316.439453125,-78958.9609375,13683.484375,2500,4,4
0_BP_CreatureSpawner130,BP_CreatureSpawner_C,Char_SpaceRabbit_C,-49126.46875,-100765.828125,891.2415161132812,200,1,1
0_BP_CreatureSpawner131,BP_CreatureSpawner_C,Char_SpaceRabbit_C,-18233.341796875,-87368.0390625,5508.61962890625,200,1,1
0_BP_CreatureSpawner136_2,BP_CreatureSpawner_C,Char_Hog_C,6864.2919921875,-84038.4375,10525.734375,1000,3,3
0_BP_CreatureSpawner137,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,69668.1796875,-48939.30078125,5961.33984375,1000,1,1
0_BP_CreatureSpawner138,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,25362.97265625,-63425.41015625,5944.658203125,1000,1,1
0_BP_CreatureSpawner139,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,95987.53125,-61971.9765625,9061.361328125,1000,1,1
0_BP_CreatureSpawner13_2,BP_CreatureSpawner_C,Char_CaveStinger_Child_C,69877.703125,-75109.9296875,8321.548828125,200,1,1
0_BP_CreatureSpawner14,BP_CreatureSpawner_C,Char_CaveStinger_Child_C,66740.9453125,-76054.53125,8284.099609375,200,1,1
0_BP_CreatureSpawner140,BP_CreatureSpawner_C,Char_SpaceGiraffe_C,117014.7734375,-66661.84375,8053.1279296875,1000,1,1
0_BP_CreatureSpawner15_2,BP_CreatureSpawner_C,Char_SpaceRabbit_C,65639.421875,-13924.345703125,13409.0029296875,500,1,1
0_BP_CreatureSpawner16,BP_CreatureSpawner_C,Char_Hog_C,-26363.109375,-129535.5390625,7905.7373046875,2000,2,2
