Item ID,Item Type,Amount,X,Y,Z,Closest POI,Accessible
FGItemPickup_Spawnable_204,Computer,8,-89769.35156,-51167.14844,16002.71875,BP_DropPod1_0,1
FGItemPickup_Spawnable_1,IronPlateReinforced,31,-25571.25,-129773.25,7992.467773,BP_DropPod2,1
FGItemPickup_Spawnable_3,Wire,213,-24674.17578,-129360.3438,7973.797852,BP_DropPod2,1
FGItemPickup_Spawnable_2,IronScrew,210,-25324.36719,-129795.7813,8010.763184,BP_DropPod2,1
FGItemPickup_Spawnable_0,Wire,368,-25887.43164,-128781.4219,7935.040527,BP_DropPod2,1
FGItemPickup_Spawnable_4,CircuitBoard,11,-27198.37891,-129874.6406,7717.898438,BP_DropPod2,1
FGItemPickup_Spawnable93,IronPlateReinforced,24,-28740.30469,-129732.4609,7949.386719,BP_DropPod2,1
FGItemPickup_Spawnable_99,Computer,17,16562.75,-138177.6094,13731.96582,BP_DropPod3_1,1
FGItemPickup_Spawnable71,IronScrew,378,18737.01953,-138362.1094,13420.08203,BP_DropPod3_1,1
FGItemPickup_Spawnable_100,Cable,33,18665.24414,-137246.4063,13495.33594,BP_DropPod3_1,1
FGItemPickup_Spawnable_102,Cable,72,17210.73438,-136753.3281,13673.63477,BP_DropPod3_1,1
FGItemPickup_Spawnable76,IronPlateReinforced,21,18123.55078,-137324.5313,13577.875,BP_DropPod3_1,1
FGItemPickup_Spawnable_101,IronPlateReinforced,16,16015.41797,-137622.5781,13750.45703,BP_DropPod3_1,1
FGItemPickup_Spawnable_361,CircuitBoard,19,175099.8906,-279669.7188,21057.16016,BP_DropPod24_1,1
FGItemPickup_Spawnable_359,AluminumPlateReinforced,16,172808.4844,-279627.25,21412.54102,BP_DropPod24_1,1
FGItemPickup_Spawnable402_6,Wire,448,174735.0781,-277509.5625,21237.81445,BP_DropPod24_1,1
FGItemPickup_Spawnable_201,ModularFrame,6,176588.0625,-277024.1875,20853.92578,BP_DropPod24_1,1
FGItemPickup_Spawnable216_0,ModularFrameHeavy,6,173502.2031,-276772.1563,21161.83398,BP_DropPod24_1,0
FGItemPickup_Spawnable397_1,CircuitBoardHighSpeed,9,174573.0156,-276964.875,21162.34375,BP_DropPod24_1,0
FGItemPickup_Spawnable_213,ModularFrameHeavy,21,177121.9688,-276987.25,20727.33203,BP_DropPod24_1,1
FGItemPickup_Spawnable_360,IronScrew,242,173964.7031,-279098.6563,21273.56641,BP_DropPod24_1,1
FGItemPickup_Spawnable_202,ModularFrame,11,177561.5625,-277153.9375,20655.85352,BP_DropPod24_1,1
FGItemPickup_Spawnable_223,Wire,284,175782.1719,-277771.5313,21010.29492,BP_DropPod24_1,1
FGItemPickup_Spawnable401_5,Cable,30,173642.2969,-277255.25,21164.0332,BP_DropPod24_1,0
FGItemPickup_Spawnable_216,ModularFrameHeavy,16,175540.9844,-279371.0313,20994.32031,BP_DropPod24_1,1
FGItemPickup_Spawnable403_7,Wire,167,175628.7188,-276644.6563,21050.52734,BP_DropPod24_1,1
FGItemPickup_Spawnable398_2,CircuitBoardHighSpeed,10,174032.0781,-276932.0938,21162.37695,BP_DropPod24_1,0
FGItemPickup_Spawnable399_3,Computer,16,173084,-277031.3125,21164.62695,BP_DropPod24_1,0
FGItemPickup_Spawnable400_4,ModularFrameHeavy,18,174219.5938,-276212.5625,21163.06836,BP_DropPod24_1,0
FGItemPickup_Spawnable225,ModularFrame,14,-153613.3281,73553.20313,10522.92188,BP_DropPod5_740,1
FGItemPickup_Spawnable228,SteelPlateReinforced,17,-109598.3672,109049.6016,9923.166992,BP_DropPod6_2102,1
FGItemPickup_Spawnable227,ModularFrame,13,-110481.9297,109933.7813,9562.341797,BP_DropPod6_2102,1
FGItemPickup_Spawnable_74,IronPlateReinforced,12,-107782.1875,107668.9688,9940.351563,BP_DropPod6_2102,1
FGItemPickup_Spawnable_69,ModularFrame,9,-108890.1719,108465.0703,9914.793945,BP_DropPod6_2102,1
FGItemPickup_Spawnable_70,SteelPlateReinforced,11,-109494.0313,107370.6406,9956.891602,BP_DropPod6_2102,1
FGItemPickup_Spawnable229,IronPlateReinforced,9,-109462.1172,110878.5156,9719.889648,BP_DropPod6_2102,1
FGItemPickup_Spawnable_295,Wire,407,-77489.96094,91385.49219,20040.42773,BP_DropPod2_10,1
FGItemPickup_Spawnable_298,Battery,28,-78228.75781,90182.84375,20311.04883,BP_DropPod2_10,1
FGItemPickup_Spawnable_296,ModularFrameHeavy,14,-77519.86719,91844.625,20137.36133,BP_DropPod2_10,1
FGItemPickup_Spawnable_297,HighSpeedConnector,8,-78929.71094,90737.95313,20377.14063,BP_DropPod2_10,1
FGItemPickup_Spawnable_301,SteelPlateReinforced,15,-77779.32813,90751.38281,20034.42969,BP_DropPod2_10,1
FGItemPickup_Spawnable_129,Wire,372,-92996.82813,42050.47656,19597.9668,BP_DropPod_C_9,1
FGItemPickup_Spawnable_126,CircuitBoard,11,-95896.11719,39858.34766,21268.35938,BP_DropPod_C_9,1
FGItemPickup_Spawnable_163,Wire,212,-94328.8125,39589.4375,21092.58594,BP_DropPod_C_9,1
FGItemPickup_Spawnable_130,Computer,17,-96749.63281,40162.33984,21343.92188,BP_DropPod_C_9,1
FGItemPickup_Spawnable_127,Wire,275,-95743.76563,39565.94531,21226.9043,BP_DropPod_C_9,1
FGItemPickup_Spawnable_158,SteelPlateReinforced,15,-95247.21875,40307.87891,21257.97656,BP_DropPod_C_9,1
FGItemPickup_Spawnable_128,Motor,8,-94849.125,40277.61719,21251.78516,BP_DropPod_C_9,1
FGItemPickup_Spawnable_131,Computer,27,-92707.22656,38212.01953,19526.57227,BP_DropPod_C_9,1
FGItemPickup_Spawnable_217,ModularFrame,12,-56761.90234,-72555.28906,27634.71094,BP_DropPod3_2,1
FGItemPickup_Spawnable_215,IronPlateReinforced,15,-54981.48828,-72515.15625,27838.58984,BP_DropPod3_2,1
FGItemPickup_Spawnable_218,Cable,24,-55605.59766,-73633.65625,27661.80469,BP_DropPod3_2,1
FGItemPickup_Spawnable_219,CircuitBoard,5,-56776.03125,-71513.13281,27148.20703,BP_DropPod3_2,1
FGItemPickup_Spawnable_214,Wire,216,-56150.78906,-73709.48438,27594.46289,BP_DropPod3_2,1
FGItemPickup_Spawnable_205,IronPlateReinforced,9,-88291.11719,-51296.14063,16007.26953,BP_DropPod1_0,1
FGItemPickup_Spawnable_147,ModularFrame,16,95125.46875,48895.32031,9907.112305,BP_DropPod29_27444,1
FGItemPickup_Spawnable_146,ModularFrame,16,92835.6875,48591.11328,9700.258789,BP_DropPod29_27444,1
FGItemPickup_Spawnable_148,IronScrew,474,93176.23438,48432.95313,9709.912109,BP_DropPod29_27444,1
FGItemPickup_Spawnable_145,Cable,76,94157.77344,48910.375,9915.251953,BP_DropPod29_27444,1
FGItemPickup_Spawnable_144,Battery,30,93607.55469,47979.89063,9573.442383,BP_DropPod29_27444,1
FGItemPickup_Spawnable_235,SteelPlateReinforced,27,21964.65625,131248.8906,2987.078125,BP_DropPod40_1163,1
FGItemPickup_Spawnable_230,IronPlateReinforced,33,19718.93359,132691.1719,1901.684326,BP_DropPod40_1163,1
FGItemPickup_Spawnable_232,Wire,192,20514.24023,131534.5625,2550.554443,BP_DropPod40_1163,1
FGItemPickup_Spawnable_233,IronPlateReinforced,30,20958.03516,130476.9688,3079.402344,BP_DropPod40_1163,1
FGItemPickup_Spawnable_234,ModularFrame,9,18752.45703,132338.5469,1788.911133,BP_DropPod40_1163,1
FGItemPickup_Spawnable_231,SteelPlateReinforced,30,20712.50977,132066.8125,2390.354004,BP_DropPod40_1163,1
FGItemPickup_Spawnable_323,ComputerSuper,11,13315.38672,113862.7656,26445.84375,BP_DropPod2_23,1
FGItemPickup_Spawnable_321,Wire,150,13006.64063,112786.3594,26485.1543,BP_DropPod2_23,1
FGItemPickup_Spawnable_324,CircuitBoard,18,14840.72656,111888.5391,26565.48828,BP_DropPod2_23,1
FGItemPickup_Spawnable_322,Wire,272,14254.99609,112712.0781,26543.29102,BP_DropPod2_23,1
FGItemPickup_Spawnable_326,Motor,10,13178.46875,111611.1094,26605.77344,BP_DropPod2_23,1
FGItemPickup_Spawnable_325,IronPlateReinforced,25,12080.11328,112883.0391,26556.46289,BP_DropPod2_23,1
FGItemPickup_Spawnable_319,ModularFrame,10,12318.48438,114981.3438,26325.17773,BP_DropPod2_23,1
FGItemPickup_Spawnable_320,Computer,9,12022.50391,113921.5469,26448.23438,BP_DropPod2_23,1
FGItemPickup_Spawnable_29,Cable,12,46921.84375,140010.9063,13225.14551,BP_DropPod2_5,1
FGItemPickup_Spawnable_19,CircuitBoard,8,45296.38672,140292.5,13269.24219,BP_DropPod2_5,1
FGItemPickup_Spawnable_17,Wire,435,46042.99219,140713.875,13197.76758,BP_DropPod2_5,1
FGItemPickup_Spawnable_28,IronScrew,342,46199.10156,139883.6563,13230.86426,BP_DropPod2_5,1
FGItemPickup_Spawnable_18,CircuitBoard,6,45180.69141,141151.75,13212.03809,BP_DropPod2_5,1
FGItemPickup_Spawnable_22,SteelPlateReinforced,12,-109305.6406,214466.7969,3242.980469,BP_DropPod17_7892,1
FGItemPickup_Spawnable_24,Wire,255,-107459.3516,214747.2344,3115.814697,BP_DropPod17_7892,1
FGItemPickup_Spawnable221_221,CircuitBoard,9,-108362.8125,215959.7813,3126.456055,BP_DropPod17_7892,1
FGItemPickup_Spawnable_21,CircuitBoard,7,-107977.8594,214070.7344,3162.016357,BP_DropPod17_7892,1
FGItemPickup_Spawnable223,SteelPlateReinforced,7,-108891.0938,212896.9219,3242.980469,BP_DropPod17_7892,1
FGItemPickup_Spawnable224,Wire,204,-109053.2656,213740.9844,3227.959717,BP_DropPod17_7892,1
FGItemPickup_Spawnable_414,IronScrew,276,218350,-199331.5156,6516.085938,BP_DropPod_C_11,1
FGItemPickup_Spawnable_413,IronScrew,296,219657.6406,-199118.7188,6446.350586,BP_DropPod_C_11,1
FGItemPickup_Spawnable383,ModularFrame,12,219814.9063,-200054.6719,6516.708984,BP_DropPod_C_11,1
FGItemPickup_Spawnable382,ModularFrame,12,219262.2031,-198563.9375,6372.580078,BP_DropPod_C_11,1
FGItemPickup_Spawnable_45,IronScrew,357,-197484.4844,-59047.10547,-321.8615723,BP_DropPod2_1325,1
FGItemPickup_Spawnable_49,CircuitBoard,7,-196314.3594,-58733.95703,-323.8623657,BP_DropPod2_1325,1
FGItemPickup_Spawnable_46,AluminumPlateReinforced,7,-195432.0781,-58507.16797,-329.8560181,BP_DropPod2_1325,1
FGItemPickup_Spawnable_50,CircuitBoard,8,-195233.0625,-59654.00781,-333.4976807,BP_DropPod2_1325,1
FGItemPickup_Spawnable_48,Wire,192,-195843.1406,-59762.28516,-322.871582,BP_DropPod2_1325,1
FGItemPickup_Spawnable_373,Cable,27,234107.3125,79252.54688,-1628.429565,BP_DropPod2_2,1
FGItemPickup_Spawnable_369,ModularFrame,12,232280.9375,79567.1875,-1565.630127,BP_DropPod2_2,1
FGItemPickup_Spawnable_368,Cable,75,233357.9063,79638.41406,-1565.639893,BP_DropPod2_2,1
FGItemPickup_Spawnable_371,IronScrew,327,232146.7969,79404.28125,-1565.638184,BP_DropPod2_2,1
FGItemPickup_Spawnable_372,Motor,12,232804.125,78802.125,-1573.672729,BP_DropPod2_2,1
FGItemPickup_Spawnable_370,CircuitBoard,9,233558.0313,78844.30469,-1544.803467,BP_DropPod2_2,1
FGItemPickup_Spawnable_384,IronPlateReinforced,19,250460.8125,59321.73438,-1433.701904,BP_DropPod9,0
FGItemPickup_Spawnable_389,IronScrew,438,248498.9375,59967.48828,-1660.191528,BP_DropPod9,1
FGItemPickup_Spawnable_388,IronScrew,237,251637.9531,59383.44141,-1564.602295,BP_DropPod9,0
FGItemPickup_Spawnable_387,IronPlateReinforced,24,249157.6094,59068.57031,-1524.079102,BP_DropPod9,1
FGItemPickup_Spawnable_385,Computer,25,249366.2656,60134.22266,-1557.98999,BP_DropPod9,1
FGItemPickup_Spawnable_383,ModularFrameHeavy,12,249801.9844,59285.875,-1420.650024,BP_DropPod9,1
FGItemPickup_Spawnable_386,IronPlateReinforced,20,249227.375,57942.78906,-1660.368164,BP_DropPod9,1
FGItemPickup_Spawnable_382,IronPlateReinforced,12,250853.0469,60102.20313,-1496.645752,BP_DropPod9,0
FGItemPickup_Spawnable299,IronPlateReinforced,18,226110.9063,97736.09375,7180.09082,BP_DropPod5,1
FGItemPickup_Spawnable301,IronScrew,115,226810.2813,97699.03125,7157.644043,BP_DropPod5,1
FGItemPickup_Spawnable297,CircuitBoard,8,225747.6094,98460.85938,7228.229004,BP_DropPod5,1
FGItemPickup_Spawnable294,Wire,313,226769.1875,98895.34375,7164.185059,BP_DropPod5,1
FGItemPickup_Spawnable296,Computer,10,227263.8906,97880.17188,7141.584961,BP_DropPod5,1
FGItemPickup_Spawnable295,Computer,24,225968.9375,97915.03906,7185.230957,BP_DropPod5,1
FGItemPickup_Spawnable300,IronPlateReinforced,18,226482.0781,97313.53906,7170.283691,BP_DropPod5,1
FGItemPickup_Spawnable298,AluminumPlateReinforced,7,225587.3281,98127.53906,7230.503418,BP_DropPod5,1
FGItemPickup_Spawnable_150,Computer,8,169482.3438,-11579.76563,15894.22656,BP_DropPod30_6998,1
FGItemPickup_Spawnable_143,AluminumPlateReinforced,12,170720.2656,-11316.59766,15895.16699,BP_DropPod30_6998,1
FGItemPickup_Spawnable_151,IronScrew,480,169776.4219,-11474.57813,15898.00684,BP_DropPod30_6998,1
FGItemPickup_Spawnable_152,Wire,453,170139.5313,-11887.1875,15905.5127,BP_DropPod30_6998,1
FGItemPickup_Spawnable_142,SteelPlateReinforced,20,170161.7344,-11475.83984,15893.74609,BP_DropPod30_6998,1
FGItemPickup_Spawnable_141,IronScrew,498,170487.5313,-11118.49609,15880.11035,BP_DropPod30_6998,1
FGItemPickup_Spawnable89,CircuitBoard,12,191101.9844,36861.29688,5535.320313,BP_DropPod4_4,1
FGItemPickup_Spawnable87,AluminumPlateReinforced,16,190477,37123.6875,5507.124512,BP_DropPod4_4,1
